,url,categories,season
112,https://www.thespruceeats.com/broad-stripes-and-bright-stars-recipe-760941,"['Liqueurs', 'Vodka Cocktails', 'Summer Cocktails', 'July 4th Drinks']",summer
113,https://www.thespruceeats.com/the-brogue-cocktail-recipe-761388,"['Whiskey Cocktails', 'American Food', 'Citrus Recipes']",
114,https://www.thespruceeats.com/bronx-cocktail-recipe-759608,"['Gin Cocktails', 'American Food', 'Citrus Recipes']",
115,https://www.thespruceeats.com/bucks-fizz-cocktail-recipe-759611,"['Champagne & Sparkling Wines', 'American Food', 'Citrus Recipes']",
116,https://www.thespruceeats.com/bull-shot-recipe-761021,"['Shot Recipes', 'Cocktails', 'Citrus Recipes']",
117,https://www.thespruceeats.com/burning-bush-recipe-761426,"['Whiskey Cocktails', 'American Food', 'Citrus Recipes']",
118,https://www.thespruceeats.com/bushwacker-cocktail-recipe-760503,"['Rum Cocktails', 'Cocktails', 'American Food']",
119,https://www.thespruceeats.com/little-doms-butternut-old-fashioned-recipe-761338,"['Whiskey Cocktails', 'Cocktails', 'American Food', 'Thanksgiving Drinks']",fall
120,https://www.thespruceeats.com/cable-car-cocktail-with-spiced-rum-760596,"['Rum Cocktails', 'Cocktail Party Drinks']",
121,https://www.thespruceeats.com/cadillac-margarita-recipe-760804,"['Tequila Cocktails', 'Drinks & Cocktails', 'Cocktails', 'American Food', 'Citrus Recipes']",
122,https://www.thespruceeats.com/cafe-amore-cocktail-recipe-759418,"['Brandy Cocktails', 'American Food', 'Winter Drinks Cocktails']",winter
123,https://www.thespruceeats.com/cafe-brasileiro-recipe-760505,"['Coffee', 'Cocktails', 'Rum Cocktails', 'Australian Food']",
124,https://www.thespruceeats.com/cafe-caribbean-cocktail-recipe-760506,"['Rum Cocktails', 'American Food']",
125,https://www.thespruceeats.com/cafe-royal-cocktail-recipe-759612,"['Tequila Cocktails', 'American Food']",
126,https://www.thespruceeats.com/caipirinha-recipe-759290,"['Rum Cocktails', 'American Food', 'Citrus Recipes']",
127,https://www.thespruceeats.com/caipirini-cocktail-recipe-760507,"['Rum Cocktails', 'Cocktails', 'South American Food', 'Citrus Recipes']",
128,https://www.thespruceeats.com/campari-and-soda-cocktail-759268,"['Liqueurs', 'Cocktail Basics', 'Italian Food', 'Citrus Recipes']",
129,https://www.thespruceeats.com/skyy-campari-cosmo-recipe-761165,"['Vodka Cocktails', 'American Food', 'Citrus Recipes']",
130,https://www.thespruceeats.com/canadian-cocktail-recipe-759630,"['Whiskey Cocktails', 'American Food', 'Citrus Recipes']",
131,https://www.thespruceeats.com/candy-appley-cocktail-recipe-761341,"['Whiskey Cocktails', 'Cocktails', 'American Food', 'Fruit Recipes', 'Apple Recipes']",
132,https://www.thespruceeats.com/candy-cane-cocktail-recipe-759810,"['Vodka Cocktails', 'American Food']",
133,https://www.thespruceeats.com/candy-corn-cocktail-recipe-760063,"['Gin Cocktails', 'American Food', 'Halloween Drinks']",fall
134,https://www.thespruceeats.com/cantarito-cocktail-recipe-760805,"['Tequila Cocktails', 'Mexican Food', 'Citrus Recipes']",
135,https://www.thespruceeats.com/cape-codder-recipe-759287,"['Vodka Cocktails', 'American Food', 'Citrus Recipes']",
136,https://www.thespruceeats.com/tezon-caramel-apple-pie-recipe-760883,"['Tequila Cocktails', 'American Food', 'Apple Recipes', 'Citrus Recipes']",
137,https://www.thespruceeats.com/uv-caramel-appletini-recipe-761197,"['Vodka Cocktails', 'American Food', 'Apple Recipes']",
138,https://www.thespruceeats.com/caramel-irish-coffee-recipe-761342,"['Liqueurs', 'Cocktails', 'Whiskey Cocktails', 'American Food']",
139,https://www.thespruceeats.com/cardinal-cocktail-recipe-759615,"['Cocktails', 'American Food']",
140,https://www.thespruceeats.com/catalina-margarita-recipe-760806,"['Tequila Cocktails', 'American Food']",
141,https://www.thespruceeats.com/celery-cup-no-1-cocktail-760944,"['Vodka Cocktails', 'Cocktails', 'American Food', 'Citrus Recipes', 'Vegetable Recipes']",
